# e0bc707b-5987-498d-9d92-59a36068fb99
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -280.4307880; 392.8053185; 0.2680186; 0.0027926; 23.4857607; 5.3138211
1.9994295; -280.9659469; 394.7323651; 0.2738193; 0.0030059; 23.9338709; 5.3298134
3.9988590; -281.5124118; 396.6553044; 0.2799762; 0.0030970; 24.3750559; 5.3383897
5.9982884; -282.0707979; 398.5749780; 0.2861466; 0.0030764; 24.8090874; 5.2746192
7.9977179; -282.6411078; 400.4916456; 0.2922611; 0.0030384; 25.2306020; 5.2887976
9.9971474; -283.2229511; 402.4044833; 0.2982971; 0.0030002; 25.6462947; 5.2955981
11.9965769; -283.8162057; 404.3136290; 0.3042584; 0.0029634; 26.0558780; 5.2383138
13.9960064; -284.4208997; 406.2196575; 0.3101489; 0.0029281; 26.4547927; 5.2494508
15.9954359; -285.0366630; 408.1218652; 0.3159697; 0.0028970; 26.8486103; 5.2535405
17.9948653; -285.6633874; 410.0203325; 0.3217353; 0.0028707; 27.2370344; 5.2004862
19.9942948; -286.3010970; 411.9155100; 0.3274273; 0.0028217; 27.6161556; 5.2098441
21.9937243; -286.9494186; 413.8068674; 0.3330051; 0.0027420; 27.9908107; 5.2129131
23.9931538; -287.6080623; 415.6945562; 0.3383736; 0.0026283; 28.3607332; 5.1654914
25.9925833; -288.2766687; 417.5789908; 0.3434703; 0.0024680; 28.7225914; 5.1739173
27.9920128; -288.9545170; 419.4599732; 0.3482358; 0.0022910; 29.0805265; 5.1768905
29.9914422; -289.6409568; 421.3377931; 0.3526223; 0.0020968; 29.4343113; 5.1329457
31.9908717; -290.3352991; 423.2128402; 0.3566074; 0.0018889; 29.7809437; 5.1399620
33.9903012; -291.0366898; 425.0851776; 0.3601747; 0.0016783; 30.1240533; 5.1422458
35.9897307; -291.7443602; 426.9551546; 0.3633170; 0.0014650; 30.4634487; 5.0996731
37.9891602; -292.4575212; 428.8230782; 0.3660413; 0.0012603; 30.7963403; 5.1051036
39.9885897; -293.1753770; 430.6891781; 0.3683514; 0.0010448; 31.1260207; 5.1064220
41.9880191; -293.8971369; 432.5538003; 0.3702125; 0.0008168; 31.4523295; 5.0649726
43.9874486; -294.6218829; 434.4170696; 0.3716302; 0.0006016; 31.7726791; 5.0684061
45.9868781; -295.3488952; 436.2795156; 0.3726370; 0.0004270; 32.0900449; 5.0680997
47.9863076; -296.0776447; 438.1416941; 0.3733614; 0.0002976; 32.4042836; 5.0233205
49.9857371; -296.8072961; 440.0029791; 0.3737900; 0.0001303; 32.7127673; 4.9894138
51.9851666; -297.5375518; 441.8643760; 0.3738851; -0.0000323; 33.0163158; 4.9465269
53.9845960; -298.2677131; 443.7258834; 0.3736639; -0.0001888; 33.3145249; 4.8370786
55.9840255; -298.9970826; 445.5874252; 0.3731379; -0.0003372; 33.6035767; 4.8042062
57.9834550; -299.7252608; 447.4496198; 0.3723177; -0.0004809; 33.8882238; 4.7642628
59.9828845; -300.4516361; 449.3124809; 0.3712173; -0.0006198; 34.1681625; 4.6659311
61.9823140; -301.1756943; 451.1761899; 0.3698561; -0.0007411; 34.4401180; 4.6349696
63.9817434; -301.8970544; 453.0411157; 0.3682783; -0.0008080; 34.7081592; 4.5966612
65.9811729; -302.6153208; 454.9069644; 0.3666580; -0.0008131; 34.9719561; 4.5079542
67.9806024; -303.3306460; 456.7745950; 0.3648170; -0.0010381; 35.2287438; 4.4796805
69.9800319; -304.0419207; 458.6432393; 0.3625250; -0.0012298; 35.4820800; 4.4445711
71.9794614; -304.7484409; 460.5131768; 0.3599298; -0.0013667; 35.7316556; 4.3620087
73.9788909; -305.4501687; 462.3858490; 0.3570836; -0.0014787; 35.9749117; 4.3337515
75.9783203; -306.1461880; 464.2601338; 0.3540172; -0.0015876; 36.2149738; 4.3000484
77.9777498; -306.8361640; 466.1363700; 0.3507370; -0.0016940; 36.4516065; 4.2211739
79.9771793; -307.5199997; 468.0155328; 0.3472431; -0.0018002; 36.6824140; 4.1933390
81.9766088; -308.1969466; 469.8968083; 0.3435404; -0.0019008; 36.9102705; 4.1620287
83.9760383; -308.8666774; 471.7804660; 0.3396457; -0.0019955; 37.1350432; 4.0857776
85.9754678; -309.5289701; 473.6671742; 0.3354804; -0.0021723; 37.3543824; 4.0583255
87.9748972; -310.1829565; 475.5564084; 0.3309866; -0.0022952; 37.5709802; 4.0295279
89.9743267; -310.8283534; 477.4488442; 0.3263338; -0.0023583; 37.7848127; 3.9537156
91.9737562; -311.4647666; 479.3441035; 0.3215754; -0.0024018; 37.9934523; 3.9268662
93.9731857; -312.0921266; 481.2425780; 0.3167168; -0.0024708; 38.1995472; 3.8993658
95.9726152; -312.7101357; 483.1442531; 0.3116820; -0.0025650; 38.4031043; 3.8284799
97.9720447; -313.3183064; 485.0488120; 0.3064680; -0.0026508; 38.6019166; 3.8016445
99.9714741; -313.9164134; 486.9566914; 0.3010822; -0.0027362; 38.7983274; 3.7752700
101.9709036; -314.5041045; 488.8679162; 0.2955259; -0.0028213; 38.9923964; 3.7087187
103.9703331; -315.0809483; 490.7822309; 0.2898029; -0.0029035; 39.1821085; 3.6814557
105.9697626; -315.6466966; 492.6999544; 0.2839159; -0.0029845; 39.3695218; 3.6558617
107.9691921; -316.2010120; 494.6210919; 0.2778685; -0.0030643; 39.5547535; 3.5929619
109.9686216; -316.7435100; 496.5454519; 0.2716656; -0.0031407; 39.7359569; 3.5655129
111.9680510; -317.2739315; 498.4732447; 0.2653108; -0.0032146; 39.9149628; 3.5406699
113.9674805; -317.7919638; 500.4044531; 0.2588114; -0.0032862; 40.0919305; 3.4814193
115.9669100; -318.2972773; 502.3389352; 0.2521764; -0.0033510; 40.2651785; 3.4544752
117.9663395; -318.7896298; 504.2767998; 0.2454143; -0.0034105; 40.4363519; 3.4308666
119.9657690; -319.2687629; 506.2180002; 0.2385400; -0.0034651; 40.6056413; 3.3763991
121.9651984; -319.7344314; 508.1624261; 0.2315691; -0.0035080; 40.7715569; 3.3511447
123.9646279; -320.1864570; 510.1100917; 0.2245164; -0.0035433; 40.9355665; 3.3296998
125.9640574; -320.6246748; 512.0609160; 0.2174023; -0.0035719; 41.0978784; 3.2812854
127.9634869; -321.0489529; 514.0148051; 0.2102440; -0.0035885; 41.2572055; 3.2582543
129.9629164; -321.4592041; 515.9716955; 0.2030556; -0.0035995; 41.4148078; 3.2392229
131.9623459; -321.8553599; 517.9314799; 0.1958519; -0.0036060; 41.5708973; 3.1959008
133.9617753; -322.2373794; 519.8940777; 0.1886393; -0.0036086; 41.7243269; 3.1739407
135.9612048; -322.6052287; 521.8593795; 0.1814221; -0.0036101; 41.8761459; 3.1562157
137.9606343; -322.9588797; 523.8272690; 0.1742033; -0.0036107; 42.0265732; 3.1160341
139.9600638; -323.2983192; 525.7976819; 0.1669847; -0.0036099; 42.1745591; 3.0948051
141.9594933; -323.6235269; 527.7704867; 0.1597677; -0.0036091; 42.3210246; 3.0780255
143.9589228; -323.9344872; 529.7455679; 0.1525524; -0.0036083; 42.4661950; 3.0401980
145.9583522; -324.2311945; 531.7228668; 0.1453390; -0.0036072; 42.6090957; 3.0192679
147.9577817; -324.5136317; 533.7022451; 0.1381277; -0.0036061; 42.7505400; 3.0030836
149.9572112; -324.7817882; 535.6835924; 0.1309189; -0.0036048; 42.8907633; 2.9673412
151.9566407; -325.0356603; 537.6668422; 0.1237131; -0.0036032; 43.0288688; 2.9467134
153.9560702; -325.2752370; 539.6518601; 0.1165105; -0.0036014; 43.1655771; 2.9311035
155.9554997; -325.5005132; 541.6385452; 0.1093116; -0.0035996; 43.3011329; 2.8972853
157.9549291; -325.7114865; 543.6268088; 0.1021166; -0.0035975; 43.4347090; 2.8769070
159.9543586; -325.9081523; 545.6165302; 0.0949259; -0.0035953; 43.5669404; 2.8618094
161.9537881; -326.0905108; 547.6076237; 0.0877394; -0.0035931; 43.6980808; 2.8297256
163.9532176; -326.2585596; 549.5999645; 0.0805580; -0.0035905; 43.8273652; 2.8095620
165.9526471; -326.4123008; 551.5934529; 0.0733814; -0.0035884; 43.9553521; 2.7949262
167.9520766; -326.5517379; 553.5880271; 0.0662085; -0.0035861; 44.0823037; 2.7643990
169.9515060; -326.6768691; 555.5835111; 0.0590436; -0.0035809; 44.2075100; 2.7444462
171.9509355; -326.7877054; 557.5798340; 0.0518785; -0.0035924; 44.3314628; 2.7302422
173.9503650; -326.8842018; 559.5769612; 0.0446748; -0.0036127; 44.4544311; 2.7011300
175.9497945; -326.9662688; 561.5746566; 0.0374353; -0.0036289; 44.5757544; 2.6813295
177.9492240; -327.0338497; 563.5728756; 0.0301891; -0.0036059; 44.6958627; 2.6674660
179.9486534; -327.0870281; 565.5716775; 0.0230225; -0.0035680; 44.8150306; 2.6394375
181.9480829; -327.1259252; 567.5706683; 0.0158895; -0.0035673; 44.9326351; 2.6198978
183.9475124; -327.1505645; 569.5698974; 0.0087591; -0.0035644; 45.0490655; 2.6064213
185.9469419; -327.1609559; 571.5693948; 0.0016361; -0.0035604; 45.1645991; 2.5794957
187.9463714; -327.1571128; 573.5687647; -0.0054794; -0.0035574; 45.2786490; 2.5603925
189.9458009; -327.1390493; 575.5680735; -0.0125887; -0.0035539; 45.3915708; 2.5473456
191.9452303; -327.1067774; 577.5673330; -0.0196912; -0.0035503; 45.5036392; 2.5214608
193.9446598; -327.0603176; 579.5661772; -0.0267858; -0.0035465; 45.6142976; 2.5029600
195.9440893; -326.9996850; 581.5646624; -0.0338729; -0.0035426; 45.7238792; 2.4903824
197.9435188; -326.9248944; 583.5627654; -0.0409525; -0.0035387; 45.8326501; 2.4655082
199.9429483; -326.8359729; 585.5601851; -0.0480237; -0.0035347; 45.9400809; 2.4477318
201.9423778; -326.7329362; 587.5569493; -0.0550872; -0.0035307; 46.0464892; 2.4356472
203.9418072; -326.6158027; 589.5529911; -0.0621428; -0.0035268; 46.1521287; 2.4117657
205.9412367; -326.4846011; 591.5480958; -0.0691903; -0.0035228; 46.2564946; 2.3947880
207.9406662; -326.3393485; 593.5422486; -0.0762302; -0.0035192; 46.3598933; 2.3832085
209.9400957; -326.1800668; 595.5353394; -0.0832636; -0.0035159; 46.4625637; 2.3603167
211.9395252; -326.0067804; 597.5272470; -0.0902882; -0.0035107; 46.5640247; 2.3441667
213.9389547; -325.8195135; 599.5179038; -0.0973053; -0.0035096; 46.6645732; 2.3330905
215.9383841; -325.6182853; 601.5071680; -0.1043219; -0.0035001; 46.7644319; 2.3111685
217.9378136; -325.4031648; 603.4950103; -0.1112530; -0.0034330; 46.8631425; 2.2958068
219.9372431; -325.1743838; 605.4813617; -0.1180888; -0.0034250; 46.9609916; 2.2852100
221.9366726; -324.9320155; 607.4659940; -0.1249610; -0.0034511; 47.0581870; 2.2642538
223.9361021; -324.6759407; 609.4490039; -0.1318989; -0.0034887; 47.1542935; 2.2494637
225.9355316; -324.4060474; 611.4301830; -0.1388932; -0.0034972; 47.2495787; 2.2391688
227.9349610; -324.1223290; 613.4092862; -0.1458785; -0.0034910; 47.3442373; 2.2188231
229.9343905; -323.8247787; 615.3865111; -0.1528569; -0.0034893; 47.4378495; 2.2043607
231.9338200; -323.5134405; 617.3616178; -0.1598313; -0.0034863; 47.5306690; 2.1942631
233.9332495; -323.1883722; 619.3343262; -0.1667978; -0.0034826; 47.6228836; 2.1745536
235.9326790; -322.8495435; 621.3049098; -0.1737575; -0.0034789; 47.7140941; 2.1602907
237.9321084; -322.4970143; 623.2730952; -0.1807099; -0.0034749; 47.8045340; 2.1503451
239.9315379; -322.1308595; 625.2385671; -0.1876533; -0.0034708; 47.8943880; 2.1312654
241.9309674; -321.7510325; 627.2016670; -0.1945886; -0.0034663; 47.9832787; 2.1170391
243.9303969; -321.3576067; 629.1620977; -0.2015148; -0.0034615; 48.0714133; 2.1071888
245.9298264; -320.9506732; 631.1195147; -0.2084305; -0.0034566; 48.1589776; 2.0887431
247.9292559; -320.5301726; 633.0743014; -0.2153367; -0.0034514; 48.2456186; 2.0743751
249.9286853; -320.0961875; 635.0261596; -0.2222326; -0.0034460; 48.3315099; 2.0645622
251.9281148; -319.6488229; 636.9747270; -0.2291167; -0.0034406; 48.4168435; 2.0467604
253.9275443; -319.1880134; 638.9203882; -0.2359905; -0.0034350; 48.5012932; 2.0320621
255.9269738; -318.7138435; 640.8628717; -0.2428532; -0.0034293; 48.5849912; 2.0222295
257.9264033; -318.2264266; 642.8018172; -0.2497037; -0.0034238; 48.6681414; 2.0050818
259.9258328; -317.7257014; 644.7375616; -0.2565443; -0.0034186; 48.7504464; 1.9898684
261.9252622; -317.2117453; 646.6698775; -0.2633756; -0.0034147; 48.8319898; 1.9799903
263.9246917; -316.6846552; 648.5984699; -0.2701988; -0.0034109; 48.9129935; 1.9635875
265.9241212; -316.1443906; 650.5235431; -0.2770161; -0.0034085; 48.9931938; 1.9482259
267.9235507; -315.5909665; 652.4450678; -0.2838309; -0.0034077; 49.0726372; 1.9387671
269.9229802; -315.0245505; 654.3624773; -0.2906445; -0.0034079; 49.1515674; 1.9240580
271.9224097; -314.4450593; 656.2760627; -0.2974577; -0.0034076; 49.2297736; 1.9089747
273.9218391; -313.8524488; 658.1859599; -0.3042713; -0.0034067; 49.3072442; 1.9000743
275.9212686; -313.2469790; 660.0913453; -0.3110817; -0.0034058; 49.3842329; 1.8870689
277.9206981; -312.6285380; 661.9925995; -0.3178891; -0.0034042; 49.4605761; 1.8720048
279.9201276; -311.9970123; 663.8900743; -0.3246947; -0.0034018; 49.5361935; 1.8635350
281.9195571; -311.3527695; 665.7826948; -0.3314936; -0.0033992; 49.6113544; 1.8521859
283.9189866; -310.6957120; 667.6708013; -0.3382859; -0.0033960; 49.6859448; 1.8368499
285.9184160; -310.0256096; 669.5550761; -0.3450738; -0.0033920; 49.7598072; 1.8286930
287.9178455; -309.3429425; 671.4342111; -0.3518513; -0.0033877; 49.8332329; 1.8189817
289.9172750; -308.6476662; 673.3084065; -0.3586184; -0.0033827; 49.9061615; 1.8030549
291.9167045; -307.9394032; 675.1787182; -0.3653785; -0.0033775; 49.9783465; 1.7950943
293.9161340; -307.2187334; 677.0436647; -0.3721255; -0.0033715; 50.0501093; 1.7870143
295.9155634; -306.4856842; 678.9032705; -0.3788582; -0.0033648; 50.1214471; 1.7701642
297.9149929; -305.7397540; 680.7588597; -0.3855836; -0.0033607; 50.1920123; 1.7622717
299.9144224; -304.9815662; 682.6089209; -0.3922957; -0.0033518; 50.2621644; 1.7543368
301.9138519; -304.2111290; 684.4535484; -0.3989842; -0.0033446; 50.3319036; 1.7394650
303.9132814; -303.4281187; 686.2934955; -0.4057254; -0.0033975; 50.4009563; 1.7304183
305.9127109; -302.6328562; 688.1275535; -0.4125717; -0.0034529; 50.4695561; 1.7225973
307.9121403; -301.8248862; 689.9562410; -0.4195190; -0.0034748; 50.5377534; 1.7087508
309.9115698; -301.0043025; 691.7792590; -0.4263585; -0.0033663; 50.6053117; 1.6970139
311.9109993; -300.1715398; 693.5964988; -0.4330325; -0.0033351; 50.6723168; 1.6887068
313.9104288; -299.3263037; 695.4089430; -0.4397051; -0.0033376; 50.7389061; 1.6763477
